Degree,Category,Suitable_Jobs,Key_Skills,Companies_To_Apply,Vibe,Roadmap
Finance,business_management,Financial Analyst; Investment Banking Analyst; Risk Analyst; Corporate Treasury Associate,Financial Modeling; Excel; Valuation; Accounting Standards,Goldman Sachs; JPMorgan; Morgan Stanley; BlackRock; HDFC Bank,💰 The Numbers Whisperer,Build 3 financial models from scratch|Pursue CFA Level 1|Do a summer analyst internship
Marketing,business_management,Brand Manager; Digital Marketing Specialist; Growth Marketer; Marketing Analyst,SEO/SEM; Content Strategy; Analytics; Branding; Social Media,Unilever; Nike; Google Ads; HubSpot; Ogilvy,📣 The Storyteller,Run a real campaign (even a small one)|Get Google Ads/Analytics certified|Build a personal brand on LinkedIn
Economics,business_management,Economic Analyst; Policy Researcher; Data Analyst; Financial Consultant,Econometrics; Statistics; Excel/R/Python; Research Writing,World Bank; RBI; Deloitte; Nomura; NITI Aayog,📉 The Trend Reader,Publish one research note or blog|Learn Python/R for econometrics|Intern with a policy think-tank or bank
Accounting,business_management,Accountant; Auditor; Tax Consultant; Financial Controller,Bookkeeping; GAAP/IFRS; Tally/QuickBooks; Attention to Detail,Deloitte; PwC; EY; KPMG; ICAI firms,🧾 The Precisionist,Pursue CA/CPA certification|Get hands-on with Tally or QuickBooks|Intern at an audit firm for real casework
MBBS,medical_health,General Physician; Medical Officer; Clinical Researcher; Resident Doctor,Clinical Diagnosis; Patient Care; Medical Ethics; Research,Apollo Hospitals; Fortis; Mayo Clinic; AIIMS; Cleveland Clinic,🩺 The Healer,Clear licensing exams (NEET-PG/USMLE)|Get hands-on clinical rotations|Publish or assist in a research paper
Nursing,medical_health,Registered Nurse; ICU Nurse; Community Health Nurse; Nurse Educator,Patient Care; Clinical Procedures; Communication; Empathy,Apollo Hospitals; Fortis; NHS; Mayo Clinic; Cleveland Clinic,💉 The Caregiver,Get licensed (NCLEX or equivalent)|Specialize via a certification (ICU/ER)|Volunteer in community health programs
Pharmacy,medical_health,Clinical Pharmacist; Drug Safety Associate; Regulatory Affairs Associate; Research Associate,Pharmacology; Regulatory Knowledge; Attention to Detail; Research,Pfizer; Cipla; Sun Pharma; Johnson & Johnson; Novartis,💊 The Formulator,Get licensed as a pharmacist|Learn regulatory/GMP basics|Intern at a pharma R&D or hospital pharmacy
Public Health,medical_health,Public Health Analyst; Epidemiologist; Health Program Manager; Policy Advisor,Biostatistics; Epidemiology; Program Management; Communication,WHO; UNICEF; CDC; Gates Foundation; National Health Mission,🌍 The Guardian,Work on a real community health project|Learn biostatistics tools (R/SPSS)|Intern with an NGO or public health body
Physiotherapy,medical_health,Physiotherapist; Sports Rehab Specialist; Clinical Therapist; Wellness Consultant,Anatomy; Manual Therapy; Patient Assessment; Communication,Apollo Hospitals; Fortis; Max Healthcare; sports clubs; rehab centers,🤸 The Mobility Coach,Get licensed and complete clinical hours|Specialize in sports or neuro rehab|Build a case portfolio of patient outcomes
Biomedical Science,medical_health,Research Associate; Lab Technologist; Clinical Research Coordinator; Biotech Analyst,Lab Techniques; Data Analysis; Research Design; Regulatory Basics,Pfizer; Illumina; Thermo Fisher; ICMR; Biocon,🔬 The Investigator,Get hands-on lab/bench experience|Learn a data tool (R/Python) for research|Assist on a published research project
Fine Arts,arts_humanities,Illustrator; Art Director; Animator; Gallery Curator,Drawing/Painting; Digital Tools (Procreate/Photoshop); Creativity; Portfolio Building,Pixar; DreamWorks; Adobe; Independent studios; Galleries,🎨 The Visionary,Build a strong portfolio (Behance/Instagram)|Learn a digital tool deeply|Enter competitions or local exhibitions
Psychology,arts_humanities,Counselor; HR Specialist; UX Researcher; Behavioral Analyst,Active Listening; Research Methods; Empathy; Data Analysis,Headspace; LinkedIn; Deloitte (HR); hospitals; research institutes,🧠 The Mind Reader,Get supervised counseling/research hours|Learn basic UX research methods|Pursue a relevant certification or Masters
Journalism,arts_humanities,Reporter; Content Strategist; Editor; Podcast Producer,Writing; Research; Interviewing; Multimedia Storytelling,BBC; The New York Times; NDTV; Vox; Reuters,🎙️ The Storyteller,Publish consistently (blog/freelance)|Build a multimedia portfolio|Intern at a newsroom or media house
English Literature,arts_humanities,Content Writer; Copywriter; Editor; Communications Specialist,Writing; Editing; Critical Analysis; Storytelling,Penguin Random House; HubSpot; Ogilvy; The Guardian; Grammarly,✍️ The Wordsmith,Start a blog or Substack|Freelance to build a writing portfolio|Learn SEO copywriting basics
Political Science,arts_humanities,Policy Analyst; Diplomat/Foreign Service; Legislative Assistant; Journalist,Research; Public Speaking; Policy Analysis; Writing,United Nations; State Department; Think tanks; NGOs; Media houses,🏛️ The Policy Mind,Intern with a think tank or NGO|Publish policy commentary or research|Prepare for civil services/foreign service exams
Graphic Design,arts_humanities,Graphic Designer; UI/UX Designer; Brand Designer; Motion Designer,Adobe Creative Suite; Figma; Typography; Visual Storytelling,Adobe; Canva; Spotify; Airbnb; independent agencies,🖌️ The Pixel Perfectionist,Build a striking Behance/Dribbble portfolio|Learn Figma for UI/UX work|Take on freelance client projects
History,arts_humanities,Archivist; Museum Curator; Researcher; Content Historian,Research; Archival Methods; Writing; Critical Thinking,National Archives; Smithsonian; Universities; Publishing houses; Museums,📜 The Time Keeper,Volunteer at an archive or museum|Publish research or long-form articles|Pursue a Masters for specialization
Sociology,arts_humanities,Social Researcher; HR Analyst; Community Program Manager; Policy Researcher,Research Methods; Data Analysis; Communication; Program Design,UNICEF; NGOs; Deloitte (HR); Government agencies; Research firms,🤝 The Society Reader,Work on a field research project|Learn basic quantitative analysis (SPSS/R)|Intern with an NGO or policy body
